# Datetime, equity ($), cash flow ($)
2023-11-06 17:25:15.706446,1101.63,0
2023-11-06 17:30:18.995817,1101.63,0
2023-11-06 17:35:15.920497,1101.63,0
2023-11-06 17:40:18.023052,1101.63,0
2023-11-06 17:45:19.761523,1101.63,0
2023-11-06 17:50:17.753995,1101.63,0
2023-11-06 17:56:04.063528,1101.63,0
2023-11-06 18:00:10.233284,1101.63,0
2023-11-06 18:05:32.712591,1101.63,0
2023-11-06 18:10:25.041481,1101.63,0
2023-11-06 18:15:40.573148,1101.63,0
2023-11-06 18:20:55.699905,1101.63,0
2023-11-06 18:25:17.536340,1101.63,0
2023-11-06 18:30:47.911171,1101.63,0
2023-11-06 18:36:04.550806,1101.63,0
2023-11-06 18:40:49.822547,1101.63,0
2023-11-06 18:46:00.085955,1101.63,0
2023-11-06 18:50:32.732585,1101.63,0
2023-11-06 18:55:52.453200,1101.63,0
2023-11-06 19:00:29.407672,1101.63,0
2023-11-06 19:05:32.731181,1101.63,0
2023-11-06 19:10:24.875716,1101.63,0
2023-11-06 19:15:27.433684,1101.63,0
2023-11-06 19:20:29.893609,1101.63,0
2023-11-06 19:25:16.747443,1101.63,0
2023-11-06 19:30:13.453231,1101.63,0
2023-11-06 19:35:35.978716,1101.63,0
2023-11-06 19:40:22.402080,1101.63,0
2023-11-06 19:45:23.598060,1101.63,0
2023-11-06 19:50:25.634200,1101.63,0
2023-11-06 19:55:33.963837,1101.63,0
2023-11-06 20:00:43.529931,1101.63,0
2023-11-06 20:05:18.840909,1101.63,0
2023-11-06 20:10:25.960310,1101.63,0
2023-11-06 20:15:31.090697,1101.63,0
2023-11-06 20:20:34.048532,1101.63,0
2023-11-06 20:25:15.118075,1101.63,0
2023-11-06 20:30:16.883986,1101.63,0
2023-11-06 20:35:40.864330,1101.63,0
2023-11-06 20:40:44.199399,1101.63,0
2023-11-06 20:51:04.720018,1100.62,0
2023-11-06 20:55:20.993028,1101.93,0
2023-11-06 21:00:11.874652,1100.42,0
2023-11-06 21:05:34.223825,1100.67,0
2023-11-06 21:10:37.022491,1100.27,0
2023-11-06 21:15:18.087522,1103.14,0
2023-11-06 21:20:30.926374,1104.56,0
2023-11-06 21:25:17.533019,1104.71,0
2023-11-06 21:30:13.772470,1107.44,0
2023-11-06 21:35:10.409925,1109.2,0
2023-11-06 21:40:16.478013,1107.52,0
2023-11-06 21:45:18.514915,1104.73,0
2023-11-06 21:50:09.181160,1105.67,0
2023-11-06 21:55:15.188552,1105.72,0
2023-11-07 15:30:13.661398,1110.09,0
2023-11-07 15:35:15.831538,1100.95,0
2023-11-07 15:40:12.629094,1099.74,0
2023-11-07 15:45:19.786321,1093.75,0
2023-11-07 15:50:23.229888,1090.5,0
2023-11-07 15:55:16.795796,1091.66,0
2023-11-07 16:00:09.424648,1091.66,0
2023-11-07 16:05:18.307045,1091.66,0
2023-11-07 16:10:11.141652,1091.66,0
2023-11-07 16:15:19.058366,1091.66,0
2023-11-07 16:20:16.386636,1091.66,0
2023-11-07 16:25:24.649036,1091.66,0
2023-11-07 16:30:16.995711,1091.66,0
2023-11-07 16:40:14.845981,1093.44,0
2023-11-07 16:45:18.000183,1096.88,0
2023-11-07 16:51:05.919529,1101.54,0
2023-11-07 16:55:25.344207,1109.36,0
2023-11-07 17:00:17.384483,1109.53,0
2023-11-07 17:05:21.683620,1109.38,0
2023-11-07 17:10:13.720602,1106.35,0
2023-11-07 17:15:16.989426,1107.71,0
2023-11-07 17:21:02.885503,1101.54,0
2023-11-07 17:26:03.710601,1100.68,0
2023-11-07 17:30:31.919351,1102.04,0
2023-11-07 17:35:29.736008,1104.98,0
2023-11-07 17:40:11.594076,1105.59,0
2023-11-07 17:45:51.341522,1105.08,0
2023-11-07 17:50:11.869043,1103.87,0
2023-11-07 17:55:45.208400,1104.47,0
2023-11-07 18:00:16.932328,1106.7,0
2023-11-07 18:05:14.169563,1103.26,0
2023-11-07 18:10:16.167265,1104.37,0
2023-11-07 18:15:18.075596,1103.66,0
2023-11-07 18:20:08.735324,1105.89,0
2023-11-07 18:25:31.239233,1107.1,0
2023-11-07 18:30:45.735731,1106.6,0
2023-11-07 18:35:28.512873,1108.12,0
2023-11-07 18:40:27.024567,1108.22,0
2023-11-07 18:45:33.814243,1108.47,0
2023-11-07 18:50:20.395445,1108.12,0
2023-11-07 18:55:28.282265,1108.02,0
2023-11-07 19:00:20.083790,1109.64,0
2023-11-07 19:05:17.344918,1109.23,0
2023-11-07 19:10:19.672675,1111.96,0
2023-11-07 19:15:55.358344,1111.66,0
2023-11-07 19:20:37.003500,1111.41,0
2023-11-07 19:25:24.735801,1111.46,0
2023-11-07 19:30:17.934434,1110.09,0
2023-11-07 19:35:15.537420,1110.95,0
2023-11-07 19:40:07.647471,1110.24,0
2023-11-07 19:45:31.105026,1110.24,0
2023-11-07 19:50:47.367779,1111,0
2023-11-07 19:55:24.819681,1110.55,0
2023-11-07 20:00:22.774827,1111,0
2023-11-07 20:05:14.469887,1111.47,0
2023-11-07 20:10:49.221741,1110.45,0
2023-11-07 20:15:20.700477,1109.33,0
2023-11-07 20:20:55.947932,1111.36,0
2023-11-07 20:25:27.113220,1111.25,0
2023-11-07 20:30:17.910299,1112.77,0
2023-11-07 20:35:19.611316,1113.18,0
2023-11-07 20:40:59.615088,1114.95,0
2023-11-07 20:45:43.544456,1111.36,0
2023-11-07 20:50:19.093791,1110.6,0
2023-11-07 20:55:20.722808,1108.93,0
2023-11-07 21:00:11.261249,1108.42,0
2023-11-07 21:05:17.118687,1106.12,0
2023-11-07 21:10:29.316954,1107.51,0
2023-11-07 21:15:21.178687,1109.13,0
2023-11-07 21:20:23.374807,1109.23,0
2023-11-07 21:25:53.547306,1108.22,0
2023-11-07 21:30:16.601960,1108.02,0
2023-11-07 21:35:13.869836,1108.02,0
2023-11-07 21:40:27.330426,1108.02,0
2023-11-07 21:45:18.816042,1108.02,0
2023-11-07 21:50:14.627798,1108.02,0
2023-11-07 21:57:39.571249,1108.02,0
2023-11-08 15:30:23.075338,1107.99,0
2023-11-08 15:35:14.390160,1107.99,0
2023-11-08 15:40:17.168133,1107.99,0
2023-11-08 15:45:14.753354,1107.99,0
2023-11-08 15:50:29.079000,1107.99,0
2023-11-08 15:55:16.007636,1107.99,0
2023-11-08 16:00:13.735258,1107.99,0
2023-11-08 16:05:16.069782,1107.99,0
2023-11-08 16:10:07.740914,1107.99,0
2023-11-08 16:15:36.210925,1107.99,0
2023-11-08 16:20:18.307625,1107.99,0
2023-11-08 16:25:43.294544,1107.99,0
2023-11-08 16:30:41.392015,1107.99,0
2023-11-08 16:35:46.372133,1107.99,0
2023-11-08 16:40:12.352611,1107.99,0
2023-11-08 16:45:27.268420,1107.99,0
2023-11-08 16:50:29.236983,1107.99,0
2023-11-08 16:55:37.272732,1107.99,0
2023-11-08 17:00:25.359111,1107.99,0
2023-11-08 17:05:30.007932,1107.99,0
2023-11-08 17:10:11.106642,1107.99,0
2023-11-08 17:15:17.855761,1107.99,0
2023-11-08 17:21:04.365342,1107.99,0
2023-11-08 17:25:42.601740,1107.99,0
2023-11-08 17:30:18.483541,1107.99,0
2023-11-08 17:40:14.710786,1105.38,0
2023-11-08 17:45:28.259785,1107.27,0
2023-11-08 17:50:24.887127,1104.01,0
2023-11-08 17:55:54.950150,1103.26,0
2023-11-08 18:00:54.277768,1100.3,0
2023-11-08 18:05:53.359301,1097.59,0
2023-11-08 18:10:39.953684,1095.96,0
2023-11-08 18:15:30.159515,1094.33,0
2023-11-08 18:20:50.807598,1095.69,0
2023-11-08 18:26:09.313112,1095.46,0
2023-11-08 18:30:18.133498,1093.96,0
2023-11-08 18:35:48.447037,1092.28,0
2023-11-08 18:40:33.341569,1095.82,0
2023-11-08 18:45:32.176195,1096.84,0
2023-11-08 18:51:02.167928,1096.38,0
2023-11-08 18:55:32.323834,1096.49,0
2023-11-08 19:00:44.711704,1096.59,0
2023-11-08 19:05:12.726295,1100.25,0
2023-11-08 19:10:30.734886,1101.04,0
2023-11-08 19:15:29.010420,1101.65,0
2023-11-08 19:20:16.967236,1100.21,0
2023-11-08 19:25:19.493684,1102.66,0
2023-11-08 19:31:09.053107,1102.61,0
2023-11-08 19:35:42.381125,1104.03,0
2023-11-08 19:40:46.769849,1105.41,0
2023-11-08 19:45:14.327898,1106.59,0
2023-11-08 19:50:38.911869,1106.37,0
2023-11-08 19:55:30.536773,1105.61,0
2023-11-08 20:00:13.034087,1106.05,0
2023-11-08 20:06:26.169117,1108.4,0
2023-11-08 20:10:57.614906,1108.76,0
2023-11-08 20:15:46.904738,1107.06,0
2023-11-08 20:21:24.239168,1106.09,0
2023-11-08 20:26:21.253764,1107.12,0
2023-11-08 20:30:40.113026,1107.62,0
2023-11-08 20:35:39.099612,1105.26,0
2023-11-08 20:41:10.547812,1107.02,0
2023-11-08 20:45:32.779444,1106.77,0
2023-11-08 20:51:09.944403,1106.27,0
2023-11-08 20:56:16.112704,1106.81,0
2023-11-08 21:00:14.008007,1107.01,0
2023-11-08 21:05:38.230480,1109.42,0
2023-11-08 21:11:00.532607,1109.22,0
2023-11-08 21:15:34.275705,1110.98,0
2023-11-08 21:20:43.799261,1111.03,0
2023-11-08 21:25:55.871895,1112.18,0
2023-11-08 21:30:40.244828,1112.73,0
2023-11-08 21:35:22.518470,1110.83,0
2023-11-08 21:40:24.964918,1112.38,0
2023-11-08 21:45:43.633745,1115.74,0
2023-11-08 21:50:20.845106,1116.02,0
2023-11-08 21:55:24.257683,1115.24,0
2023-11-09 15:30:20.572988,1106.27,0
2023-11-09 15:35:16.156821,1093.51,0
2023-11-09 15:40:11.629658,1092.68,0
2023-11-09 15:45:25.060792,1092.68,0
2023-11-09 15:50:18.900816,1092.68,0
2023-11-09 15:55:34.496757,1092.68,0
2023-11-09 16:00:14.105138,1092.68,0
2023-11-09 16:05:07.069145,1092.68,0
2023-11-09 16:10:13.907204,1092.68,0
2023-11-09 16:15:07.563730,1092.68,0
2023-11-09 16:20:20.447946,1092.68,0
2023-11-09 16:25:12.378708,1092.68,0
2023-11-09 16:30:19.424912,1092.68,0
2023-11-09 16:35:10.592567,1092.68,0
2023-11-09 16:40:17.669243,1092.68,0
2023-11-09 16:45:08.990759,1092.68,0
2023-11-09 16:50:16.317440,1092.68,0
2023-11-09 17:00:21.226938,1095.28,0
2023-11-09 17:05:14.729553,1095.28,0
2023-11-09 17:10:15.809905,1098.58,0
2023-11-09 17:15:07.654855,1101.19,0
2023-11-09 17:20:20.643831,1097.89,0
2023-11-09 17:26:07.235883,1097.02,0
2023-11-09 17:30:48.156798,1096.49,0
2023-11-09 17:35:48.851858,1097.02,0
2023-11-09 17:41:05.046469,1094.41,0
2023-11-09 17:46:06.318859,1091.45,0
2023-11-09 17:50:34.239843,1092.14,0
2023-11-09 17:56:01.084961,1091.45,0
2023-11-09 18:00:13.110504,1090.58,0
2023-11-09 18:06:26.579246,1090.23,0
2023-11-09 18:11:13.723381,1089.38,0
2023-11-09 18:16:05.008676,1089.38,0
2023-11-09 18:21:08.560371,1089.38,0
2023-11-09 18:26:36.632735,1089.38,0
2023-11-09 18:30:23.187878,1089.38,0
2023-11-09 18:36:09.393236,1089.38,0
2023-11-09 18:40:47.069491,1089.38,0
2023-11-09 18:45:18.562411,1089.38,0
2023-11-09 18:56:06.202184,1089.38,0
2023-11-09 19:00:59.911628,1089.38,0
2023-11-09 19:06:04.737015,1089.38,0
2023-11-09 19:10:39.335889,1089.38,0
2023-11-09 19:15:37.263856,1089.38,0
2023-11-09 19:21:07.808620,1089.38,0
